epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14826,1.36774,3.30752,1.57067,0.55041,0.6,0.48068,0.3103,0.96569,5.68317,1.77149,0.08614,0.00014,0.00014
2,7.78372,1.42687,3.43027,1.62607,0.76174,0.33333,0.56344,0.41024,1.00238,4.86346,1.79941,0.0712886,0.00028855,0.00028855
3,9.59836,1.19725,3.50918,1.47228,0.38808,1,0.74929,0.51031,1.00546,29.1638,1.47557,0.0564356,0.0004356,0.0004356
4,11.6886,1.26016,3.85547,1.53044,0.00048,0.33333,0.00115,0.00023,1.83532,16.3617,2.58162,0.0415812,0.000581151,0.000581151
5,13.5217,1.4212,3.05665,1.71849,0.00048,0.33333,0.00115,0.00023,1.83532,16.3617,2.58162,0.0267252,0.000725201,0.000725201
6,15.3388,1.339,3.39179,1.66262,0.28755,0.53333,0.34691,0.18507,1.14449,10.8464,1.79916,0.0118678,0.000867752,0.000867752
7,17.719,1.37952,4.25642,1.78409,0.28755,0.53333,0.34691,0.18507,1.14449,10.8464,1.79916,0.000970003,0.000970003,0.000970003
8,20.5472,1.29922,2.72024,1.58478,0.91946,0.16667,0.34614,0.07651,1.88344,2.86867,2.165,0.000965004,0.000965004,0.000965004
9,22.3406,1.3954,2.57928,1.61984,0.91946,0.16667,0.34614,0.07651,1.88344,2.86867,2.165,0.000960004,0.000960004,0.000960004
10,24.3209,1.24734,2.33347,1.50242,0.3662,0.9,0.46529,0.22123,1.12516,4.94793,1.67405,0.000955004,0.000955004,0.000955004
11,26.1669,1.28641,2.32679,1.48799,0.3662,0.9,0.46529,0.22123,1.12516,4.94793,1.67405,0.000950005,0.000950005,0.000950005
12,28.5286,1.2782,2.53927,1.47327,0.00519,0.1,0.0073,0.00342,1.58184,13.2785,2.39043,0.000945005,0.000945005,0.000945005
13,30.392,1.19698,2.51065,1.38366,0.00519,0.1,0.0073,0.00342,1.58184,13.2785,2.39043,0.000940006,0.000940006,0.000940006
14,33.0723,1.07935,2.47769,1.37846,0.371,0.6933,0.58639,0.42812,0.92307,5.41991,2.021,0.000935007,0.000935007,0.000935007
15,35.4495,1.21831,2.18343,1.50818,0.371,0.6933,0.58639,0.42812,0.92307,5.41991,2.021,0.000930007,0.000930007,0.000930007
16,37.2617,1.23919,2.50235,1.65367,0.56158,0.8,0.65902,0.43577,1.02168,6.55474,1.7769,0.000925008,0.000925008,0.000925008
17,39.1668,1.06031,1.97788,1.43946,0.56158,0.8,0.65902,0.43577,1.02168,6.55474,1.7769,0.000920008,0.000920008,0.000920008
18,40.9735,1.17303,2.11449,1.38861,0.56158,0.8,0.65902,0.43577,1.02168,6.55474,1.7769,0.000915008,0.000915008,0.000915008
19,42.8421,1.17498,2.3361,1.45268,0.46144,0.56667,0.74852,0.50379,0.89092,6.495,1.56328,0.000910009,0.000910009,0.000910009
20,44.7263,1.19098,1.96407,1.38606,0.46144,0.56667,0.74852,0.50379,0.89092,6.495,1.56328,0.00090501,0.00090501,0.00090501
21,47.4827,1.15548,1.85108,1.41755,0.55869,0.8332,0.68945,0.46739,0.95002,2.57357,1.57151,0.00090001,0.00090001,0.00090001
22,49.5013,0.96593,1.79937,1.2343,0.55869,0.8332,0.68945,0.46739,0.95002,2.57357,1.57151,0.000895011,0.000895011,0.000895011
23,51.5338,1.06086,1.85908,1.31809,0.9752,0.83474,0.93667,0.64293,0.97705,1.76655,1.54853,0.000890011,0.000890011,0.000890011
24,53.5876,1.11167,1.9035,1.32585,0.9752,0.83474,0.93667,0.64293,0.97705,1.76655,1.54853,0.000885012,0.000885012,0.000885012
25,55.5752,1.15514,1.75836,1.33847,0.95527,0.9,0.92,0.67206,0.82482,1.43207,1.37486,0.000880012,0.000880012,0.000880012
26,57.5934,1.07313,1.84955,1.26511,0.95527,0.9,0.92,0.67206,0.82482,1.43207,1.37486,0.000875012,0.000875012,0.000875012
27,60.2147,0.99635,1.57515,1.26362,0.72458,0.98266,0.925,0.6827,0.94358,1.31109,1.40011,0.000870013,0.000870013,0.000870013
28,63.036,0.95527,1.66008,1.22481,0.72458,0.98266,0.925,0.6827,0.94358,1.31109,1.40011,0.000865014,0.000865014,0.000865014
29,65.1589,0.94429,1.49104,1.27204,0.79973,0.98995,0.9575,0.71664,0.97475,1.47325,1.43454,0.000860014,0.000860014,0.000860014
30,67.0982,1.15845,1.37129,1.46718,0.79973,0.98995,0.9575,0.71664,0.97475,1.47325,1.43454,0.000855015,0.000855015,0.000855015
31,69.0728,1.12502,1.43794,1.35667,0.8956,1,0.995,0.76187,0.9438,1.96872,1.39317,0.000850015,0.000850015,0.000850015
32,70.9737,0.93607,1.31724,1.29216,0.8956,1,0.995,0.76187,0.9438,1.96872,1.39317,0.000845015,0.000845015,0.000845015
33,74.4137,0.96871,1.22777,1.24056,0.87349,1,0.995,0.75933,0.87823,1.99933,1.40633,0.000840016,0.000840016,0.000840016
34,76.7548,0.89129,1.43702,1.19845,0.87349,1,0.995,0.75933,0.87823,1.99933,1.40633,0.000835017,0.000835017,0.000835017
35,78.5237,1.14646,1.61693,1.44522,0.87349,1,0.995,0.75933,0.87823,1.99933,1.40633,0.000830017,0.000830017,0.000830017
36,80.5824,0.93647,1.37421,1.24011,0.91649,0.88822,0.995,0.75183,0.95143,1.35059,1.51235,0.000825017,0.000825017,0.000825017
37,84.175,0.99075,1.33832,1.25746,0.91649,0.88822,0.995,0.75183,0.95143,1.35059,1.51235,0.000820018,0.000820018,0.000820018
38,86.4533,1.02972,1.2777,1.3613,0.94592,0.85138,0.995,0.75055,0.87258,0.94318,1.49761,0.000815018,0.000815018,0.000815018
39,89.1613,1.05689,1.28137,1.3427,0.94592,0.85138,0.995,0.75055,0.87258,0.94318,1.49761,0.000810019,0.000810019,0.000810019
40,91.2143,1.06937,1.27447,1.28115,0.95873,1,0.995,0.75051,0.84192,0.8187,1.42442,0.000805019,0.000805019,0.000805019
41,93.0471,0.86574,1.01062,1.17513,0.95873,1,0.995,0.75051,0.84192,0.8187,1.42442,0.00080002,0.00080002,0.00080002
42,94.9529,0.93943,1.13506,1.27537,0.87749,0.9672,0.995,0.73527,0.92485,1.04218,1.40233,0.000795021,0.000795021,0.000795021
43,96.82,0.88732,1.09227,1.20996,0.87749,0.9672,0.995,0.73527,0.92485,1.04218,1.40233,0.000790021,0.000790021,0.000790021
44,98.6695,0.9186,1.03255,1.21756,0.81074,0.96906,0.995,0.73834,0.99207,0.88303,1.45854,0.000785022,0.000785022,0.000785022
45,101.06,0.94413,1.15035,1.27946,0.81074,0.96906,0.995,0.73834,0.99207,0.88303,1.45854,0.000780022,0.000780022,0.000780022
46,103.607,0.97033,1.04954,1.24952,0.93055,1,0.995,0.75665,1.00155,0.69526,1.54738,0.000775023,0.000775023,0.000775023
47,105.632,0.82434,1.09946,1.21288,0.93055,1,0.995,0.75665,1.00155,0.69526,1.54738,0.000770023,0.000770023,0.000770023
48,107.519,1.0101,1.24838,1.3397,0.89233,1,0.995,0.78589,1.00072,0.89925,1.51279,0.000765023,0.000765023,0.000765023
49,109.638,0.95665,1.14578,1.24686,0.89233,1,0.995,0.78589,1.00072,0.89925,1.51279,0.000760024,0.000760024,0.000760024
50,111.687,0.94016,1.09098,1.2578,0.89233,1,0.995,0.78589,1.00072,0.89925,1.51279,0.000755025,0.000755025,0.000755025
51,113.806,1.0069,1.1504,1.31701,0.79373,0.83333,0.95375,0.76152,0.91317,1.14552,1.40843,0.000750025,0.000750025,0.000750025
52,116.414,0.9836,1.1474,1.25941,0.79373,0.83333,0.95375,0.76152,0.91317,1.14552,1.40843,0.000745026,0.000745026,0.000745026
53,118.594,0.86296,1.0076,1.15713,0.77321,0.95942,0.995,0.79453,0.92081,1.12157,1.40718,0.000740026,0.000740026,0.000740026
54,120.772,0.84539,1.09419,1.14788,0.77321,0.95942,0.995,0.79453,0.92081,1.12157,1.40718,0.000735027,0.000735027,0.000735027
55,123.29,0.79037,0.98174,1.1886,0.81817,0.96021,0.995,0.79882,0.77963,0.87223,1.26094,0.000730027,0.000730027,0.000730027
56,125.296,0.88999,0.99379,1.24312,0.81817,0.96021,0.995,0.79882,0.77963,0.87223,1.26094,0.000725028,0.000725028,0.000725028
